candidate_id,name,surname,organization,start_date,end_date,position/contribution,description,cause
1,John,Smith,Doctors Without Borders,2016-07-13,2018-02-18,Education Assistant,Led environmental awareness campaigns in local schools.,Health and Humanitarian Aid
1,John,Smith,Tree Planting Initiative,2018-05-26,2018-11-09,Recycling Program Coordinator,Helped with wildlife rescue and rehabilitation efforts.,Environment and Animals
2,Sarah,Johnson,Women’s Empowerment Collective,2014-10-05,2015-09-12,Partnership Liaison,Organized awareness campaigns for human rights and social justice.,Emergencies and Social Rights
2,Sarah,Johnson,Environmental Action Group,2018-08-03,2018-10-17,Event Coordinator,Provided companionship and care to seniors in assisted living.,Environment and Animals
2,Sarah,Johnson,Habitat for Humanity,2010-04-26,2010-08-23,Education Assistant,Facilitated cultural exchange programs and educational talks.,Environment and Animals
3,Michael,Brown,After-School Tutoring Program,2014-08-23,2016-03-27,Recycling Program Coordinator,Organized workshops for adults on digital literacy.,Education and Culture
4,Jennifer,Davis,Human Rights Watch Local Chapter,2015-11-20,2016-05-04,Education Assistant,Helped with wildlife rescue and rehabilitation efforts.,Emergencies and Social Rights
5,Robert,Wilson,Youth Sports League,2012-10-01,2013-04-25,Workshop Facilitator,Facilitated cultural exchange programs and educational talks.,Sports and Youth
6,Lisa,Anderson,Doctors Without Borders,2010-02-07,2010-05-27,Volunteer,Helped coordinate emergency shelter and resource distribution.,Health and Humanitarian Aid
6,Lisa,Anderson,Women’s Empowerment Collective,2016-10-31,2018-06-27,Education Assistant,Helped with wildlife rescue and rehabilitation efforts.,Emergencies and Social Rights
6,Lisa,Anderson,Senior Care Home,2014-08-14,2015-10-13,Counseling Support,"Organized donation drives for food, clothing, and medical supplies.",Health and Humanitarian Aid
7,David,Martinez,Beach Clean-Up Program,2017-05-10,2019-04-27,Care Assistant,Created learning materials and supported classroom activities.,Environment and Animals
7,David,Martinez,University Mentorship Program,2019-03-29,2019-07-21,Environmental Advocate,Coordinated recycling and waste reduction initiatives.,Education and Culture
7,David,Martinez,Habitat for Humanity,2013-10-28,2015-10-14,Environmental Advocate,"Organized donation drives for food, clothing, and medical supplies.",Environment and Animals
8,Emma,Taylor,Neighborhood Clean-Up Crew,2016-01-01,2016-06-24,Partnership Liaison,Provided direct support and guidance to program participants.,Environment and Animals
9,Christopher,Moore,Summer Camp Assistance,2010-04-16,2011-07-01,Recycling Program Coordinator,Led environmental awareness campaigns in local schools.,Sports and Youth
9,Christopher,Moore,Immigrant Support Network,2017-12-18,2019-03-11,Workshop Facilitator,Created learning materials and supported classroom activities.,Emergencies and Social Rights
10,Amanda,Garcia,Cultural Heritage Preservation Project,2018-06-07,2018-12-24,Mentor,Provided companionship and care to seniors in assisted living.,Education and Culture
11,Ryan,Thompson,Disaster Relief Task Force,2017-07-08,2017-12-05,Community Outreach,Helped organize community events and facilitated logistics.,Emergencies and Social Rights
12,Ashley,White,Disaster Relief Task Force,2018-08-02,2018-09-18,Environmental Advocate,"Tutored children in reading, writing, and mathematics.",Emergencies and Social Rights
13,Kevin,Clark,Library Reading Program,2017-10-29,2017-12-14,Volunteer,Worked with local leaders to design and implement initiatives.,Education and Culture
14,Michelle,Lewis,After-School Tutoring Program,2012-03-01,2012-04-21,Organizer,Provided direct support and guidance to program participants.,Education and Culture
15,Daniel,Walker,Senior Care Home,2011-02-25,2011-06-02,Communications Volunteer,Supported mental health awareness campaigns in the community.,Health and Humanitarian Aid
15,Daniel,Walker,Adult Literacy Initiative,2012-04-27,2013-09-11,Workshop Facilitator,"Tutored children in reading, writing, and mathematics.",Education and Culture
16,Nicole,Hall,Environmental Action Group,2016-07-30,2017-09-28,Education Assistant,Supported disaster relief operations after floods and storms.,Environment and Animals
16,Nicole,Hall,Tree Planting Initiative,2012-06-14,2013-02-27,Community Outreach,Worked with advocacy groups to promote equality and inclusion.,Environment and Animals
16,Nicole,Hall,Cultural Heritage Preservation Project,2019-07-27,2020-08-22,Counseling Support,Provided direct support and guidance to program participants.,Education and Culture
17,Brian,Young,Women’s Empowerment Collective,2019-08-24,2021-05-31,Community Outreach,"Tutored children in reading, writing, and mathematics.",Emergencies and Social Rights
18,Stephanie,King,Human Rights Watch Local Chapter,2013-02-05,2014-03-26,Partnership Liaison,Worked with advocacy groups to promote equality and inclusion.,Emergencies and Social Rights
18,Stephanie,King,Environmental Action Group,2017-07-27,2018-03-28,Volunteer,Created learning materials and supported classroom activities.,Environment and Animals
19,Anthony,Wright,Mental Health Support Line,2014-07-25,2015-11-07,Recycling Program Coordinator,Worked with local leaders to design and implement initiatives.,Health and Humanitarian Aid
19,Anthony,Wright,Adult Literacy Initiative,2010-01-07,2011-03-20,Support Staff,Supported mental health awareness campaigns in the community.,Education and Culture
19,Anthony,Wright,Homeless Shelter,2012-07-22,2014-06-17,Support Staff,Helped coordinate emergency shelter and resource distribution.,Emergencies and Social Rights
