index,candidate_id,first_name,surname,education_level,area_of_knowledge,highest_qualification,code_HEL,Arts_Design_Media,Business_Finance_Management,Culinary_Hospitality,Education_Training,Health_Medical_Sciences,Humanities_Social_Sciences,Law_Political_Science,Marketing_Sales,STEM_Science_Technology_Engineering_Mathematics,Skilled_Trades_Technical_Certifications,Veterinary_Animal_Sciences,latest_job_title,total_years_experience,avg_years_per_job,total_certifications,cert_Business_Finance_Management,cert_Design_Arts_Media,cert_Education_Training,cert_Engineering_Technical_Trades,cert_Finance_Accounting,cert_Health_Medical_Veterinary,cert_Hospitality_Culinary,cert_Humanities_Social_Sciences,cert_Languages_Communication,cert_Law_Security_Emergency_Services,cert_Marketing_Sales,cert_Project_Business_Management,cert_Skilled_Trades_Technical_Certifications,cert_Technology_IT,bio,agile
0,1,John,Smith,3,"STEM (Science, Technology, Engineering & Mathematics)",Bachelor's Degree,3,0,0,0,0,0,0,0,0,7,0,0,Lead Developer,11.017111567419576,2.754277891854894,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"Experienced software engineer with 8+ years in full-stack development. Passionate about creating scalable web applications using React, Node.js, and Python. Led multiple cross-functional teams and delivered projects on time. Strong background in agile methodologies and cloud computing. Always eager to learn new technologies and contribute to innovative solutions. Experience includes fintech, healthcare, and e-commerce domains.",0.0
6,2,Sarah,Johnson,3,Marketing & Sales,Bachelor's Degree,3,0,0,0,0,0,0,0,6,0,0,0,Marketing Manager,9.073237508555783,3.0244125028519275,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,"Marketing professional with expertise in digital campaigns and brand strategy. Successfully managed marketing budgets exceeding $2M and increased brand awareness by 45% across multiple channels. Specializes in social media marketing, content creation, and data analytics. Proven track record in B2B and B2C environments. Strong communication skills and ability to work with diverse teams. Currently seeking opportunities in tech startups.",0.0
12,3,Michael,Brown,6,"STEM (Science, Technology, Engineering & Mathematics)",PhD,6,0,0,0,0,0,1,0,0,8,0,0,Senior AI Researcher,12.057494866529774,4.0191649555099245,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"Data scientist with 6 years of experience in machine learning and statistical analysis. PhD in Computer Science with focus on artificial intelligence. Worked with large datasets in retail, finance, and healthcare sectors. Expert in Python, R, SQL, and various ML frameworks including TensorFlow and PyTorch. Published 12 research papers and presented at international conferences. Passionate about solving complex problems through data-driven insights.",0.0
21,4,Jennifer,Davis,3,"Arts, Design & Media",Bachelor's Degree,3,6,0,0,0,0,0,0,0,0,0,0,Senior UX Designer,7.066392881587953,2.355464293862651,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,"UX/UI designer with 5+ years creating intuitive digital experiences. Strong background in user research, wireframing, and prototyping. Proficient in Figma, Sketch, and Adobe Creative Suite. Led design for mobile apps with over 1M downloads. Collaborated with product managers and developers to deliver user-centered solutions. Experience in fintech, e-commerce, and SaaS products. Committed to accessibility and inclusive design principles.",0.0
27,5,Robert,Wilson,5,"Business, Finance & Management",Master's Degree,5,0,9,0,0,0,0,0,0,0,0,0,Senior Project Manager,16.030116358658454,4.007529089664613,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,"Project manager with 10+ years leading complex technical initiatives. PMP certified with expertise in agile and waterfall methodologies. Successfully delivered projects worth $50M+ across various industries. Strong stakeholder management and communication skills. Experience with cross-functional teams of 20+ members. Specialized in software implementation, system integrations, and process improvements. Seeking senior leadership roles in technology companies.",2.0
39,6,Lisa,Anderson,5,"Business, Finance & Management",Master's Degree,5,0,9,0,0,0,0,0,0,0,0,0,Finance Manager,12.019164955509925,3.0047912388774813,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,"Financial analyst with CPA certification and 7 years in corporate finance. Expert in financial modeling, budgeting, and investment analysis. Worked with startups and public companies to optimize financial performance. Strong analytical skills with proficiency in Excel, SQL, and Python. Led multiple fundraising rounds totaling $25M. Experience in due diligence, mergers, and acquisitions. Looking for CFO or senior finance roles.",0.0
48,7,David,Martinez,3,"STEM (Science, Technology, Engineering & Mathematics)",Bachelor's Degree,3,0,0,0,1,0,0,0,0,5,0,0,Senior DevOps Engineer,9.77138945927447,3.257129819758157,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"DevOps engineer with 8 years automating infrastructure and deployment processes. Expert in AWS, Docker, Kubernetes, and CI/CD pipelines. Reduced deployment time by 70% and improved system reliability across multiple organizations. Strong background in monitoring, security, and scalability. Experienced with microservices architecture and serverless computing. Passionate about site reliability engineering and cloud-native technologies. Seeking senior technical roles.",0.0
57,8,Emma,Taylor,5,"Business, Finance & Management",MBA,5,0,7,0,0,0,0,0,0,4,0,0,Product Manager,10.989733059548255,3.6632443531827517,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,"Product manager with 6+ years driving product strategy and roadmap execution. MBA from top business school with technical background in computer science. Led product launches that generated $10M+ in revenue. Expert in user research, A/B testing, and data-driven decision making. Collaborated with engineering, design, and sales teams to deliver customer-focused solutions. Experience in B2B SaaS and mobile applications.",1.0
63,9,Christopher,Moore,5,"STEM (Science, Technology, Engineering & Mathematics)",Master's Degree,5,0,0,0,0,0,0,0,0,8,0,0,Senior Security Consultant,12.76933607118412,4.256445357061374,4,0,0,0,0,0,0,0,0,1,0,0,1,0,2,"Cybersecurity specialist with 9 years protecting enterprise networks and data. CISSP certified with expertise in threat detection, incident response, and security architecture. Led security initiatives that prevented potential breaches worth millions. Strong background in penetration testing, vulnerability assessment, and compliance frameworks. Experience with SIEM tools, firewalls, and encryption technologies. Passionate about staying ahead of emerging threats and security trends.",0.0
75,10,Amanda,Garcia,3,"Business, Finance & Management",Bachelor's Degree,3,0,4,0,0,0,0,0,3,0,0,0,Sales Manager,10.064339493497604,3.354779831165868,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,"Sales manager with 8+ years exceeding revenue targets in B2B technology sales. Consistently achieved 120%+ of quota and built territory worth $5M annually. Expert in consultative selling, relationship building, and complex deal negotiations. Led sales teams of 10+ representatives and implemented CRM systems that improved conversion rates. Strong presentation and communication skills. Seeking VP of Sales or similar leadership roles.",0.0
