candidate_id,first_name,surname,job_title,company,start_date,end_date,still_works_there,full name,duration
1,John,Smith,Junior Software Developer,TechStart Solutions,2014-06-01,2016-03-15 00:00:00.000000,0,John Smith,1.787816563997262
1,John,Smith,Full Stack Developer,Digital Innovations Corp,2016-04-01,2019-08-30 00:00:00.000000,0,John Smith,3.4113620807665983
1,John,Smith,Senior Software Engineer,CloudTech Systems,2019-09-15,2023-12-31 00:00:00.000000,0,John Smith,4.292950034223135
1,John,Smith,Lead Developer,NextGen Software,2024-01-15,2025-08-31 00:15:09.670572,1,John Smith,1.626283367556468
2,Sarah,Johnson,Marketing Coordinator,BrandMax Agency,2016-06-01,2018-09-30 00:00:00.000000,0,Sarah Johnson,2.329911019849418
2,Sarah,Johnson,Digital Marketing Specialist,Growth Marketing Co,2018-10-15,2021-05-20 00:00:00.000000,0,Sarah Johnson,2.595482546201232
2,Sarah,Johnson,Marketing Manager,E-commerce Solutions,2021-06-01,2025-08-31 00:15:09.670767,1,Sarah Johnson,4.249144421629021
3,Michael,Brown,Software Engineer,Google,2013-06-01,2015-08-30 00:00:00.000000,0,Michael Brown,2.245037645448323
3,Michael,Brown,Research Assistant,Stanford AI Lab,2015-09-01,2021-12-15 00:00:00.000000,0,Michael Brown,6.288843258042436
3,Michael,Brown,Senior AI Researcher,Meta AI,2022-01-15,2025-08-31 00:15:09.670894,1,Michael Brown,3.6249144421629023
4,Jennifer,Davis,Graphic Designer,Creative Studio Plus,2018-06-01,2020-11-30 00:00:00.000000,0,Jennifer Davis,2.4996577686516086
4,Jennifer,Davis,UX/UI Designer,TechFlow Design,2020-12-15,2023-07-31 00:00:00.000000,0,Jennifer Davis,2.622861054072553
4,Jennifer,Davis,Senior UX Designer,Innovation Labs,2023-08-15,2025-08-31 00:15:09.671028,1,Jennifer Davis,2.0451745379876796
5,Robert,Wilson,Business Analyst,Management Solutions,2009-06-01,2011-12-31 00:00:00.000000,0,Robert Wilson,2.5817932922655715
5,Robert,Wilson,Project Coordinator,Enterprise Corp,2012-01-15,2014-08-30 00:00:00.000000,0,Robert Wilson,2.622861054072553
5,Robert,Wilson,Project Manager,Global Projects Inc,2014-09-15,2018-05-20 00:00:00.000000,0,Robert Wilson,3.676933607118412
5,Robert,Wilson,Senior Project Manager,Strategic Consulting,2018-06-01,2025-08-31 00:15:09.671206,1,Robert Wilson,7.2498288843258045
6,Lisa,Anderson,Junior Accountant,Anderson & Associates,2013-06-01,2015-03-15 00:00:00.000000,0,Lisa Anderson,1.78507871321013
6,Lisa,Anderson,Financial Analyst,Investment Group,2015-04-01,2017-09-30 00:00:00.000000,0,Lisa Anderson,2.4996577686516086
6,Lisa,Anderson,Senior Financial Analyst,Capital Management,2017-10-15,2020-12-31 00:00:00.000000,0,Lisa Anderson,3.2114989733059547
6,Lisa,Anderson,Finance Manager,Corporate Finance Solutions,2021-01-15,2025-08-31 00:15:09.671333,1,Lisa Anderson,4.6242299794661195
7,David,Martinez,IT Support Specialist,TechSupport Pro,2015-06-01,2017-01-31 00:00:00.000000,0,David Martinez,1.6700889801505818
7,David,Martinez,Cloud Solutions Architect,AWS Partners,2017-06-01,2020-03-15 00:00:00.000000,0,David Martinez,2.7871321013004793
7,David,Martinez,Senior DevOps Engineer,CloudOps Systems,2020-04-01,2025-08-31 00:15:09.671438,1,David Martinez,5.415468856947296
8,Emma,Taylor,Software Developer,StartUp Tech,2014-06-01,2017-11-30 00:00:00.000000,0,Emma Taylor,3.4989733059548254
8,Emma,Taylor,Business Analyst,Consulting Group,2018-01-15,2019-05-20 00:00:00.000000,0,Emma Taylor,1.3415468856947297
8,Emma,Taylor,Product Manager,Innovation Products,2019-06-01,2025-08-31 00:15:09.671543,1,Emma Taylor,6.250513347022587
9,Christopher,Moore,IT Security Specialist,SecureNet Solutions,2012-06-01,2014-08-31 00:00:00.000000,0,Christopher Moore,2.2477754962354553
9,Christopher,Moore,Cybersecurity Analyst,Digital Defense Corp,2015-01-01,2018-04-30 00:00:00.000000,0,Christopher Moore,3.326488706365503
9,Christopher,Moore,Senior Security Consultant,CyberGuard Enterprise,2018-05-15,2025-08-31 00:15:09.671647,1,Christopher Moore,7.29637234770705
10,Amanda,Garcia,Sales Representative,Business Solutions,2015-06-01,2017-12-31 00:00:00.000000,0,Amanda Garcia,2.5845311430527036
10,Amanda,Garcia,Senior Sales Executive,Growth Sales Corp,2018-01-15,2021-08-30 00:00:00.000000,0,Amanda Garcia,3.62217659137577
10,Amanda,Garcia,Sales Manager,Enterprise Sales,2021-09-15,2025-08-31 00:15:09.671749,1,Amanda Garcia,3.9589322381930185
11,Ryan,Thompson,Mobile App Developer,AppDev Studios,2016-06-01,2018-10-31 00:00:00.000000,0,Ryan Thompson,2.414784394250513
11,Ryan,Thompson,iOS Developer,Mobile Innovations,2018-11-15,2021-03-20 00:00:00.000000,0,Ryan Thompson,2.3436002737850785
11,Ryan,Thompson,Senior Mobile Developer,Tech Mobile Solutions,2021-04-01,2025-08-31 00:15:09.671849,1,Ryan Thompson,4.41615331964408
12,Ashley,White,HR Coordinator,People Solutions,2017-06-01,2019-11-30 00:00:00.000000,0,Ashley White,2.4969199178644765
12,Ashley,White,HR Specialist,Human Capital Corp,2019-12-15,2022-07-31 00:00:00.000000,0,Ashley White,2.625598904859685
12,Ashley,White,HR Manager,Strategic HR Solutions,2022-08-15,2025-08-31 00:15:09.671958,1,Ashley White,3.0444900752908968
13,Kevin,Clark,Business Intelligence Analyst,Data Insights Corp,2018-06-01,2020-09-30 00:00:00.000000,0,Kevin Clark,2.3326488706365502
13,Kevin,Clark,Senior BI Analyst,Analytics Solutions,2020-10-15,2023-05-20 00:00:00.000000,0,Kevin Clark,2.5927446954141
13,Kevin,Clark,Data Analytics Manager,Business Intelligence Pro,2023-06-01,2025-08-31 00:15:09.672103,1,Kevin Clark,2.2505133470225873
14,Michelle,Lewis,Communications Specialist,PR Agency Plus,2015-06-01,2017-12-31 00:00:00.000000,0,Michelle Lewis,2.5845311430527036
14,Michelle,Lewis,Digital Marketing Specialist,Content Marketing Co,2018-01-15,2021-04-30 00:00:00.000000,0,Michelle Lewis,3.2881587953456535
14,Michelle,Lewis,Marketing Communications Manager,Brand Strategy Group,2021-05-15,2025-08-31 00:15:09.672229,1,Michelle Lewis,4.295687885010267
15,Daniel,Walker,QA Tester,Software Testing Corp,2017-06-01,2019-08-31 00:00:00.000000,0,Daniel Walker,2.2477754962354553
15,Daniel,Walker,Test Automation Engineer,Quality Assurance Pro,2019-09-15,2022-12-20 00:00:00.000000,0,Daniel Walker,3.263518138261465
15,Daniel,Walker,Senior QA Engineer,Testing Solutions,2023-01-15,2025-08-31 00:15:09.672331,1,Daniel Walker,2.625598904859685
16,Nicole,Hall,Operations Coordinator,Supply Chain Solutions,2014-06-01,2016-11-30 00:00:00.000000,0,Nicole Hall,2.4996577686516086
16,Nicole,Hall,Operations Analyst,Logistics Corp,2017-01-15,2019-07-31 00:00:00.000000,0,Nicole Hall,2.537987679671458
16,Nicole,Hall,Operations Manager,Supply Chain Management,2019-08-15,2025-08-31 00:15:09.672426,1,Nicole Hall,6.04517453798768
17,Brian,Young,Network Technician,IT Networks Corp,2016-06-01,2018-03-31 00:00:00.000000,0,Brian Young,1.8288843258042438
17,Brian,Young,Network Engineer,Infrastructure Solutions,2018-04-15,2021-09-30 00:00:00.000000,0,Brian Young,3.460643394934976
17,Brian,Young,Senior Network Engineer,Enterprise Networks,2021-10-15,2025-08-31 00:15:09.672518,1,Brian Young,3.8767967145790556
18,Stephanie,King,Graphic Designer,Design Studio Pro,2017-06-01,2019-12-31 00:00:00.000000,0,Stephanie King,2.5817932922655715
18,Stephanie,King,Senior Graphic Designer,Creative Solutions,2020-01-15,2022-08-30 00:00:00.000000,0,Stephanie King,2.622861054072553
18,Stephanie,King,Art Director,Brand Design Agency,2022-09-15,2025-08-31 00:15:09.672613,1,Stephanie King,2.9596167008898013
